question_type,pattern,factuality,clarity,traceability,completeness,hallucination_rate,decision_accuracy,latency_ms,total_tokens
ambiguous,handoff,0.0,0.874,0.3025,0.0,0.0,1.0,218.0,40.5
ambiguous,mixture_of_agents,0.5,0.7362,0.675,0.5,0.0,0.0,626.75,101.5
ambiguous,parent_child,0.5,0.7362,0.64,0.5,0.0,0.0,315.7,73.5
ambiguous,single_agent,0.5,0.5326,0.465,0.1666,0.0,0.0,204.1,52.0
medium,handoff,1.0,0.86,0.4267,0.5,0.0,1.0,267.0,81.5
medium,mixture_of_agents,1.0,1.0,1.0,1.0,0.0,1.0,759.5,338.0
medium,parent_child,1.0,1.0,1.0,1.0,0.0,1.0,429.2,185.5
medium,single_agent,1.0,0.86,0.5733,0.5,0.0,1.0,225.4,104.5
sensitive,handoff,0.0,0.874,0.21,0.0,0.0,1.0,238.0,38.0
sensitive,mixture_of_agents,1.0,0.8834,0.675,0.5834,0.0,0.0,626.75,105.0
sensitive,parent_child,1.0,0.8834,0.675,0.5834,0.0,0.0,337.7,76.0
sensitive,single_agent,0.5,0.8366,0.465,0.4166,0.5,0.0,223.2,98.5
simple,handoff,1.0,0.8898,0.86,1.0,0.0,1.0,263.0,69.0
simple,mixture_of_agents,1.0,0.8898,1.0,1.0,0.0,1.0,542.0,129.0
simple,parent_child,1.0,0.8898,0.93,1.0,0.0,1.0,291.8,75.0
simple,single_agent,1.0,0.8898,0.79,1.0,0.0,1.0,223.2,88.5
synthesis,handoff,1.0,0.8067,0.3834,0.3095,0.0,1.0,267.0,78.0
synthesis,mixture_of_agents,1.0,0.98,0.935,0.9286,0.0,1.0,814.5,393.5
synthesis,parent_child,1.0,0.85,0.935,0.4643,0.0,1.0,478.9,189.5
synthesis,single_agent,1.0,0.8067,0.4866,0.3095,0.0,1.0,225.4,101.5
